Chapter,Section,Paragraph,Content
4,0,0,University in Embryo
4,1,1,"AT THE SECOND MEETING of his General Committee held in October 1908Lugard had developed at some length the considerations that moved him in his anxiety to see a University established in Hong Kong, and his ideas of what sort of University it should be. Over the two years in which the work of founding it progressed, he sought every opportunity to repeat them, modified in small particulars from time to time, in the form of appeals, despatches, letters, and memoranda to officials and organizations in Hong Kong, China, the East generally, and Britain, in fact wherever interest might be aroused in helping him with advice and money."
4,1,2,"In the preceding pages I have shown the forces at work around him and his Committee and whence the forces derived their strength. Here, I sum up thecways in which China itself sought to use the education the West had to offer, and in which the West sought to oblige."
4,1,3,"China's own attempts to bring Western ideas to its intellectuals were half-hearted and infused with suspicion of Western motives. The Western educational institutions in China had almost all been established by the Christian missions; in their curriculum they walked the tightrope between traditional Chinese studies and the Western sciences; some of them were in the course of time to develop to a university level, but not until after the revolution. Lugard therefore saw his project as the first in the field."
4,1,4,"The training of officers for reorganized naval and land forces, the education of officials who might know how to deal effectively with foreigners in China's relations with the foreign powers, and the training of young men to teach the Western sciences and technology seemed to the Chinese best acquired abroad. But secondary education in China was of a low standard and deficient, and the early contingents of potential officials and scholars sent to the West, most of them to America, had to be sent when young and for extended periods-ten years seemed to be the minimum. Not only was it an expensive process, but the young intellectuals who were being groomed in this way for leadership became denationalized by it, and it put them out of touch and sympathy with the realities of the China they returned to. By 1881they were being recalled. The same experiment when transferred to Japanese schools and universItIes, but on a much larger scale, provided China with officers for the armed forces and teachers for the schools who were either debauched or, more frequently and far more seriously, committed to the reform of China by revolutionary means: and that in Japanese universities which had not yet attained the standards of their Western counterparts. Lugard was advised by the Japanese Government through the ambassador at Tokyo in 1908 that of the universities in Japan 'the standard is different to that of England or America and no comparison can well be made'."
4,1,5,"Proposals and rumoured proposals for the founding of foreign-staffed and foreign-funded universities in the foreign concessions on Chinese soil were widespread. There was a proposal for a German university to be set up at Kiauchou, though this in the event turned out to be a secondary-level college chiefly for instruction in the German language. There was a report that the Anglo-Chinese College at Amoy, where science and English were specialities, was to be raised in status. The educational reformer Dr Lim Boon-keng of Singapore had collected $1 00,000 to found a medical school at Amoy and Ho Kai, accompanied by Ts'o Seen-wan, met him in an attempt to divert the sum for the Hong Kong University project. An unfounded report found its way into the newspapers that the Russian Government intended to establish two univer- sities in Manchuria, one at Kirin and the other at Heilungkiang with accom- modation for 500 students, whose chief studies were to be Russian and the sciences. Canton Christian College was being loosely affiliated to an independent University Medical School at Canton supported by the UniversityofPennsylvania. The College of Yale in China founded in 1902 by a society of graduates and students of Yale University prepared its pupils up to senior high-school level for admission into universities in America, but did not grant degrees until 1919 under powers granted by the State of Connecticut. Tsinghua College, in 1911 becoming Tsinghua University, was founded in Peking for the same purpose out ofa remission by the United States ofpart ofits Boxer Indemnities, and comprised middle and high schools. These arrangements reduced the length of time the Chinese student was away from a Chinese environment. In 1909 Harvard University endorsed the founding of a medical school in Peking to be staffed by Harvard men, but the endorsement was no more than moral though a mission was sent to China to investigate. A West China Union University was formed from a group of American missionary secondary schools in 1910, a university more in prophecy than in fact, with the prime aim of training Chinese and foreign missionaries for the Christian missions in China."
4,1,6,"At Taiyuanfu a Chinese Government institution specializing in engineering called the Imperial Shansi University was established in memory of German missionaries murdered by the Boxers, under joint Chinese and British direction until 1911 when it was transferred to the provincial authority. Its medium of instruction was English, as it was also in the Tangshan Engineering College, in Peiyang University outside Tientsin, and in the North China Medical College for Women founded in 1912. But any really effective increase in the Chinese Government's participation in university-level education awaited the 1920S, when for the prevailing Japanese patterns were substituted the American."
4,1,7,"Something has been said (pages 28-30) of Cecil's Oxford and Cambridge scheme for a university in China teaching the humanities in the Chinese language. Other than Lugard's it was the only British project, and for that reason he saw it as being in competition with his, even though it seems not to have been designed with any of the considerations Lugard himself had in mind, nor to meet any of the real needs expressed by the Chinese themselves."
4,1,8,"In the academic year 1909-10 there were about 400 students from China in America and Britain together and still, despite official discouragement, 5,000 left in Japan. By 1912 the number in Japan had fallen to below 3,000; in American universities it had increased to 717 including 274 on Boxer scholar- ships; and in Britain where there were no Boxer scholarships there were 140 Chinese Government scholars."
4,1,9,"All these events and reports served each to reinforce Lugard's resolve, and added independent strength to his arguments."
4,2,1,"The new University of Hong Kong was not constitutionally modelled on Oxford and Cambridge but on the new civic universities in Leeds, Liverpool, and Birmingham. Its language of instruction was to be English, as the most appropriate vehicle for the importation of Western technology and ideals. The burden of financing it, Hong Kong could not be expected to bear in its entirety since its aims were of British scale-it would therefore have to be largely self- supporting. A Chinese student in Europe or in America expected his education to cost his family or his government about £200 a year as well as travel. In Hong Kong he would achieve the same object at less than a quarter of this (£43/15/1)."
4,2,2,"The new University would have no concern with the spread of Christianity, but would be secular. Moral instruction would be the concern of residential hostels, which any religious body might open, Christian or otherwise. The problem of character training and of moral discipline and the installing of high ideals in the students was one which exercised the thoughts of the University's founders from the moment Cecil's scheme had appeared in the arena. Lugard considered it at such length and to such purpose that he embodied his arguments and conclusions in a paper dated the 31st March 1911, which he proposed to send to the first Congress of Universities of the British Empire to be convened in London in the summer of 1912. In the event, the University having appointed him to be its delegate, he was the chief speaker at one of the Congress sessions held on the 3rd July with A. J. Balfour in the chair. It was at this meeting that the body now known as the Association of Commonwealth Universities was established, with the University of Hong Kong as a founder member. Lugard's paper bore the title 'The problem of universities in the East in regard to their influence on character and moral ideals', and in it he discussed the effects of the divorce of university education from religion, measuring the principles of broad tolerance laid down for the new University of Hong Kong against the actual experiences of the universities in India. The sum of the objects and the principles which would guide the new University Lugard wrote out in March 1910:"
4,3,1,"It is open to all races and creeds, and its matriculation and degree examinations will be maintained at a standard equal to that of English Universities. Its medium of instruction will be English, so that those who graduate may be able to read for themselves the works in English dealing with the subjects they take up, and British influence in the Far East may be extended. Chinese language and litera ture will also be taught to Chinese. Especial efforts will be made to train character, and to exert an effective moral discipline by compulsory residence either in approved colleges or hostels, or in the University itself, and by the careful selec- tion of the professorial staff. There will be no obligation of any kind whatsoever to adopt, or to receive instruction in, any particular form of religion, but the University will work in harmony with all religious bodies. Students may take up, or not take up, whatever subjects their parents or guardians please.... It will, as the Viceroy of Canton points out, promote a good understanding and friend- ship between British and Chinese. It will afford a cheaper means of acquiring higher Western education for Chinese, without exile to the West for a long period, involving denationalization and disunion from their parents and people."
4,4,1,"It would be in effect a British University on Chinese soil. It would make special efforts to attract students from China, those who otherwise would have had to go to America or Britain for a university education; and it would be an outlet also for Chinese and other students in other territories in South Asia as well as in Hong Kong itself. As Irving had shown, Canton's youth was greatly attracted to the Anglo-Chinese schools in Hong Kong, where they sat the Senior Oxford Examinations; a University would attract students not only from the Hong Kong schools but from all the English-medium colleges in China and from all the Anglo-Chinese schools in the Treaty Ports and Straits Settlements."
