Chapter,Section,Paragraph,Content
1,0,0,A Community Enterprise
1,1,1,"The University of Hong Kong is now one of Hong Kong's largest single community enterprises. Each year it passes into the working life of Hong Kong and elsewhere 1,200 young graduates in a wide range of academic and professional fields. Its student enrolment is over 5,500, including some 100 candidates for doctor's degrees, and it accommodates almost I,000 of them in its halls of residence. It employs over 500 teachers of high repute, and they and their students and services occupy over 40 buildings of sizes in a range from two to 150 thousand square feet of usable area, in 70 acres of scarce land; and over 350 thousand square feet of floor space have been added in the last two years. It has a bookstock of more than half a million, including one of the largest collections there is, of perennial, ephemeral and manuscript material on Hong Kong. Its invested endowments are worth $260 millions on the market; it is spending $120 millions a year on its regular activities, four-fifths from Government subsidy."
1,1,2,"In addition to what are considered to be the normal functions of a university, it is engaged in large-scale activities as a landlord to most of its senior staff and is planning to increase its stock of owned flats to almost 400 in the next two years; it operates on contract the pathological investigation services for a major Govern- ment hospital of 1,200 beds; and until 1979 it was occupied with examining in the schools, for which it was dealing with not far short of 10,000 examination scripts written by advanced-level candidates. On the part the University has through- out its life played in school examining I have dwelt elsewhere in this account."
1,1,3,"In the recesses of Hong Kong countinghouses, the University of Hong Kong, in common with universities generally, has from time to time been accused of living in an ivory tower. What connotations does the term 'ivory tower' carry? What impression does it seek to convey? Is it not that the University is elegant, cloudbound, ornamental, superfluous and ineffectual, expensive but impractical, enchanted and held in thrall, remote, opulent? That therefore it can have little relevance, if any, to a Hong Kong which has both feet set firmly on the ground, which is free but disenchanted, at the hub of a busy universe concerned only with practicality and cost-effectiveness? So from time to time the University takes stock of itself and of its products, as other universities do, seeking to parry those unkind, ill-deserved thrusts and to pierce the tissue of contemptuous innuendo, mustering what testimony it can find at hand for its defence."
1,1,4,"A general sort of survey was made in 1974, between classes so to speak, from written sources such as the Government Blue Book, and from material produced by individual teachers in response to an invitation to look at their own contribu- tions to the community as citizens and experts. The results reveal how deeply enmeshed with its community the University is, and I summarize them here as a lesson not only in the extent to which a well-established university, wherever it may be, enriches the community from which it draws its living, but also of the low-key diffidence with which a university distributes its wealth."
1,1,5,"The Blue Book for the 1st January 1974 gave a glimpse of the staff and graduates in their place as citizens of prominence, as officials, and as members of official bodies. Almost all the 110 official Government boards and committees listed contained at least one of the University's graduates and each of 25 of them a member of its teaching staff; among the 351 Justices of the Peace appear the names of 64 graduates and seven staff. The Executive Council included four graduates-two in medicine, one in arts, and one in engineering; in the Legislative Council were also four, and one ex-student-two in arts, two in engineering, and one in medicine-and of these, three were Finance Committee members. One of the elected Urban Councillors was a graduate. Among the 1,137 local residents upon whom honours and decorations had been conferred were those of 58 graduates and ten members and ex-members of the staff. So much for the Civil Lists; though it should be added that the present Vice-Chancellor is now an unofficial member of the Legislative Council and one of the teachers is a member of the Urban Council."
1,1,6,"Many other graduates hold responsible jobs of a generally public nature in the government administrative and professional services, in colleges, schools, and hospitals. There are some 150 officers in the Government administrative service, more than half of them local: of these four in five are the University's graduates. One of the engineers was general manager of the Canton-Kowloon Railway; by 1974 three had reached eminence in government service-one as Secretary of Home Affairs, one as Director of Medical and Health Services, and one as Director of Housing, two of them having taught on the staff. Another is Deputy Secretary of Finance. Half of the Directors of Medical Services since the re- occupation of Hong Kong in 1945 have been the University's medical graduates; it was an arts graduate who was the first of the local officers in the Government administrative service, and who became Commissioner of Labour by the time he retired."
1,1,7,"Manning the City District Officer scheme in 1974 were nine in high office, eight of them local and six of these the University's graduates. Of the Presidents in the three foundation colleges of the Chinese University one was a graduate and one a teacher; both the Secretary and Librarian of that University and one of the Assistant Directors of the Polytechnic are graduates and were on the staff; the Councils not-only of the University of Hong Kong, but also of the Chinese University and the Polytechnic boast the University's graduates as Chairmen, each with a Knighthood; members of the staff have served and some still serve on the colleges' Boards of Governors and have acted and do act as external examiners from time to time. Of the 7I secondary schools presenting candidates for the Advanced Level Examination 27 have principals who graduated from the University. Some of the graduates are employed writing film and television scripts and stage plays in Chinese; one is executive director of the Consumer Council. Medical graduates are superintendents of 20 hospitals. Others hold responsible positions in the law, in the church, and most other professions and callings."
1,1,8,"There are more of the graduates than can readily be enumerated who hold honorary offices of one sort or another. Four, for example, were in recent times presidents of the Law Society, the Institute of Architects, and both the British and the Chinese Medical Associations. One, a graduate then on the staff, was honorary adviser to the City Hall museum-as others are now-and also conducted the Philharmonic Orchestra; several of the teachers act in editorial and advisory capacities for local as well as international professional journals; others have attained eminence in the Masonic Orders or are active members of church councils. Many are the members of staff who are governors of schools; some deliver addresses at school speechdays and to lunch clubs, appear on TV forums, and hold public seminars. The clinical professors are honorary consultants to the Government and some of them to the Armed Forces in Hong Kong. Since the University Press was established in 1954, over 60 of its published books have been concerned specifically with Hong Kong matters. The University-its graduates and teachers-invests every fibre of the fabric of Hong Kong society and Hong Kong institutions."
1,1,9,"About seventy of its teachers render consultant services over a wide range. Consultations completed or started during 1974 form an impressive list. Thou- sands of specialist clinical consultations are annually given on cases referred by doctors in private practice and by the Government and Armed Forces, in the fields of pathology, paediatrics, internal medicine including infectious diseases, dermatology, neurology, tuberculosis, psychiatry, surgery, including diseases of the ear, nose, and throat, venereal diseases, orthopaedic conditions, and obstetrics and gynaecology."
1,1,10,"For the manufacturing industries quality control schemes are fOJ;mulated, products designed, finished prototypes tested against British Standard Specifica- tions, instruments and gauges calibrated. Advice is given on room acoustics and the elimination of machinery noise and vibration, minerals are tested or identified for a variety of needs, valves tested in water-supply systems, causes of failure of materials in components or whole systems investigated, local food products tested for micro-organisms, local marine food products tested for traces of fuel oil. Advice is given on factory administration and management, on control systems, on trading and marketing policies."
1,1,11,"For the construction industries and in structural and architectural design advice has been sought on the recommissioning of a hill railway; design and supervision is provided on the construction and finishing of complete buildings; building materials are tested, both natural and manufactured, and also structural members and complete structures, including flyovers, sometimes by means of scale models. Special techniques in concrete construction are investigated, urban development planned, advice tendered on the architectural effects of landslides, geological investigation made of building sites; analyses are made of rock samples taken from pilot tunnel projects, consultations invited on general architectural, interior design, landscaping, civil engineering, building, structural, and soil engineering problems."
1,1,12,"On pollution difficulties members of the staff have analysed and interpreted effluent to air quality, consulted on noise pollution, made a feasibility study for sewage treatment and disposal, made inspections preceding the issue of licences in respect of radio-isotope work; have carried out radiological measurements, have tested for fuel oil in sediments and water bodies, have analysed chemically marine diesel oil deposited on beaches as the effect of spill."
1,1,13,"For a variety ofclients members of the staffhave also advised on the training of mining technicians, provided in-service courses for technicians of high grade, supplied prepared specimens to microscope agents, supplied kit-sets of cut and polished rock-samples to schools, made a variety of chemical analyses and interpreted the results, read and advised on typescripts of textbooks and novels, and made bacterial diagnosis of rare diseases. In 1976the Department of Law organized a voluntary legal aid advice service operated by law students and staff and with the assistance of volunteers in legal practice; in the same year it was calculated that in the Queen Mary Hospital alone, as one of several hospitals participating in the medical training curriculum, University departments were treating 65 per cent of all patients admitted."
1,1,14,"The University also organizes annual refresher courses for medical graduates of Chinese universities and others who are not registrable for practice in Hong Kong, and the members of its staff assist in examining them for inclusion in the local register. It employs full-time teachers whose energies are devoted, with the assistance of a large panel of part-time tutors drawn from the community, to mounting over 450 extra-mural courses for over 14,000 adult members of the Hong Kong public each year. It organizes public lectures at the average rate of about one each month delivered by visiting scholars of international renown. Its appointments service helps not only students to find jobs but employers to recruit graduates and potential employers to define their needs."
