Image Name,Image Path,Response1,Response2,Caption
Alice Memorial Hospital.jpg,jpg/Alice Memorial Hospital.jpg,"0. Story: The image shows the first building of the Alice Memorial Hospital on Hollywood Road, used by the Hong Kong College of Medicine to teach Western medicine to young Chinese. This college was established in 1887 and later became part of the University of Hong Kong in 1912.

1. Objects:
- Building
- Signboard with Chinese characters
- Windows and doors
- Street

2. Events:
- The photo depicts the Alice Memorial Hospital, where the Hong Kong College of Medicine held its classes.
- This institution played a significant role in medical education in Hong Kong.

3. Time:
- The building dates back to its use starting in 1887.
- The photo itself seems to be a historical print, possibly taken before or around 1912 when the college became part of the University of Hong Kong.","1. Objects:
- Building
- Signboard with Chinese characters
- Windows and doors
- Street

2. Events:
- The photo depicts the Alice Memorial Hospital, where the Hong Kong College of Medicine held its classes.
- This institution played a significant role in medical education in Hong Kong.

3. Time:
- The building dates back to its use starting in 1887.
- The photo itself seems to be a historical print, possibly taken before or around 1912 when the college became part of the University of Hong Kong.",The Hong Kong College of Medicine was established in 1887 to teach Western medicine to young Chinese. It was incorporated into the University of Hong Kong in 1912 Picture shows the first Alice Memorial Hospital on Hollywood Road where the Medical College held its classes.
Alice Memorial Maternity Hospital.jpg,jpg/Alice Memorial Maternity Hospital.jpg,"Story: The image depicts a historical photo of the Alice Memorial Maternity Hospital, a notable building likely involved in healthcare services. It is an older structure with distinct architectural elements standing along a sloping landscape.

Objects: 
- Alice Memorial Maternity Hospital building
- Windows and balconies of the building
- Surrounding trees and foliage
- Pathways and inclined landscape

Events:
- The hospital, added in 1904, is marked by a caption, indicating the construction or addition of the building during that year.

Time: The photograph appears to date back to the early 20th century, specifically around 1904, as mentioned in the label.","Objects: 
- Alice Memorial Maternity Hospital building
- Windows and balconies of the building
- Surrounding trees and foliage
- Pathways and inclined landscape

Events:
- The hospital, added in 1904, is marked by a caption, indicating the construction or addition of the building during that year.

Time: The photograph appears to date back to the early 20th century, specifically around 1904, as mentioned in the label.",The Alice Maternity Hospital added in 1904.
"East Library, Main Building.jpg","jpg/East Library, Main Building.jpg","Story: The image depicts a section of a library, identified as part of the East library in the Main Building, taken in the year 1917. The library shelves are filled with numerous books and seem to be well-organized. The setting is historical, reflecting the early 20th-century design and architecture.
Objects:
- Bookshelves
- Books
- Ceiling light fixture
- Wooden flooring
- Wooden library furniture
Events:
- Storage and organization of books in a library
Time:
- 1917","Objects:
- Bookshelves
- Books
- Ceiling light fixture
- Wooden flooring
- Wooden library furniture
Events:
- Storage and organization of books in a library
Time:
- 1917","Part of the East library, Main Building, in 1917."
Exaimnation results of Sun Yat Sen at the College.jpg,jpg/Exaimnation results of Sun Yat Sen at the College.jpg,"Story: The image shows a document displaying examination results from the ""College of Medicine for Chinese, Hongkong"" for the subject ""Public Health."" The document lists the names of the examinees, their written and oral scores, and their total marks. It also includes a special examination section.

Objects:
- Examination results document
- List of examinees' names
- Written scores
- Oral scores
- Total marks
- Notations for distinction and pass

Events:
- Results of a professional examination in Public Health at a college
- Documentation of scores and results for both regular and special examinations

Time:
The specific date is not provided on the document, but the style and content suggest it is from an older period, possibly early to mid-20th century.","Objects:
- Examination results document
- List of examinees' names
- Written scores
- Oral scores
- Total marks
- Notations for distinction and pass

Events:
- Results of a professional examination in Public Health at a college
- Documentation of scores and results for both regular and special examinations

Time:
The specific date is not provided on the document, but the style and content suggest it is from an older period, possibly early to mid-20th century.",Examination results at the College.
Fong_Shu_Chuen_Amenities_Center-1.jpg,jpg/Fong_Shu_Chuen_Amenities_Center-1.jpg,"Story: The image shows a modern, multi-story building captured from a low angle, providing a dramatic view of its architecture. The structure seems to have multiple levels and balconies, with adjacent staircases and railings, implying an entrance or exit pathway.

Objects:
- Building with multiple stories
- Windows and balconies
- Staircases
- Railings
- Light post
- Trees and greenery

Events:
- The photo capturing an architectural scene, focusing on the building's design and surrounding environment.

Time:
- The photo appears to be taken in the late 20th century, based on the architectural style and black-and-white coloration.","Objects:
- Building with multiple stories
- Windows and balconies
- Staircases
- Railings
- Light post
- Trees and greenery

Events:
- The photo capturing an architectural scene, focusing on the building's design and surrounding environment.

Time:
- The photo appears to be taken in the late 20th century, based on the architectural style and black-and-white coloration.",None
Fong_Shu_Chuen_Amenities_Center-2.jpg,jpg/Fong_Shu_Chuen_Amenities_Center-2.jpg,"Story: The photograph depicts a mid-20th century high-rise building, likely residential or commercial, characterized by its modernist architectural style. The building features numerous windows distributed evenly across its facade and exterior staircases or walkways. 

Objects:
1. High-rise building
2. Windows
3. Exterior staircases/walkways
4. Potted plants
5. Signage near the entrance
6. Surrounding buildings

Events:
1. No specific events or actions are taking place in the image.

Time:
1. Estimate: The architectural style and monochrome tone suggest the image may have been taken in the 1960s-1980s.","Objects:
1. High-rise building
2. Windows
3. Exterior staircases/walkways
4. Potted plants
5. Signage near the entrance
6. Surrounding buildings

Events:
1. No specific events or actions are taking place in the image.

Time:
1. Estimate: The architectural style and monochrome tone suggest the image may have been taken in the 1960s-1980s.",None
Fung Ping shan Library-1.jpg,jpg/Fung Ping shan Library-1.jpg,"Story: The image depicts a historical photograph of a building named ""The Fung Ping Shan Library."" It is situated in an urban area with trees in the background and a road curving in front of the building. There are a few people walking on the road and a classic car is also seen on the road.

1. Objects:
- The Fung Ping Shan Library building
- Classic car
- Trees
- Streetlight
- Road
- Sidewalk
- Lamp post
- Another building on the right side
- Signpost
- Stairs

2. Events:
- People walking on the sidewalk
- Car driving on the road

3. Time:
- The photograph likely dates back to the mid-20th century, possibly around the 1950s or 1960s due to the style of the car and the appearance of the surroundings.","1. Objects:
- The Fung Ping Shan Library building
- Classic car
- Trees
- Streetlight
- Road
- Sidewalk
- Lamp post
- Another building on the right side
- Signpost
- Stairs

2. Events:
- People walking on the sidewalk
- Car driving on the road

3. Time:
- The photograph likely dates back to the mid-20th century, possibly around the 1950s or 1960s due to the style of the car and the appearance of the surroundings.",None
Fung Ping shan Library-2.jpg,jpg/Fung Ping shan Library-2.jpg,"Story: This image shows the Fung Ping Shan Library, which was donated by Mr. Fung Ping Shan in 1929 and completed in 1932. The library was later converted into a museum in 1968 after the Chinese books were moved to the main library.

Objects:
- Fung Ping Shan Library building
- Trees and vegetation
- Lamp post
- Stone wall
- Staircase

Events:
- Donation of the library by Mr. Fung Ping Shan in 1929
- Completion of the library building in 1932
- Conversion of the building into a museum in 1968
- Contribution of Mr. Fung Ping Shan and his family to the development of Chinese studies

Time:
- 1929 (donation)
- 1932 (completion)
- 1968 (conversion to museum)","Objects:
- Fung Ping Shan Library building
- Trees and vegetation
- Lamp post
- Stone wall
- Staircase

Events:
- Donation of the library by Mr. Fung Ping Shan in 1929
- Completion of the library building in 1932
- Conversion of the building into a museum in 1968
- Contribution of Mr. Fung Ping Shan and his family to the development of Chinese studies

Time:
- 1929 (donation)
- 1932 (completion)
- 1968 (conversion to museum)","The Fund Ping Shan library, donated by Mr. Fung Ping Shan, father of Sir Kenneth Fang Ping Fan in 1929. The building was completed in 1932. In 1968 the Chinese books were moved from the Fung Ping Shan library into the Main library & the building was converted into a Museum. Mr. Fung and his family have contributed greatly to the development of Chinese studies."
Fung_Ping_Shan_Library.jpg,jpg/Fung_Ping_Shan_Library.jpg,"0. Story: The picture shows a multi-story building partially obscured by trees. The building has classical architectural elements and is situated on elevated ground, with a set of stairs leading up to its entrance. Signs and a pavement are visible in the foreground.
1. Objects: building, stairs, trees, parking sign, no parking sign, pavements, railing.
2. Events: No specific event is happening in this image.
3. Time: The picture appears to be in black and white, suggesting it could have been taken in the mid-20th century. The exact time is not clear from the image alone.","1. Objects: building, stairs, trees, parking sign, no parking sign, pavements, railing.
2. Events: No specific event is happening in this image.
3. Time: The picture appears to be in black and white, suggesting it could have been taken in the mid-20th century. The exact time is not clear from the image alone.",None
Group photo during Dr Sun Yat Sen's visit to HKU.jpg,jpg/Group photo during Dr Sun Yat Sen's visit to HKU.jpg,"Story:
The image depicts a group picture taken during Dr. Sun Yat-sen's visit to a university on February 20th, 1923. The setting features a large assembly of people gathered in front of a grand building with arched doorways and palm trees, suggesting a formal event or gathering.

Objects:
- Suits and formal attire
- Hats
- Palm tree
- Arched doorways
- Large building with columns and windows

Events:
- Group photo
- University visit by Dr. Sun Yat-sen
- Speech by Dr. Sun Yat-sen emphasizing that Hong Kong and the University were his ""intellectual birth place.""

Time:
- February 20th, 1923","The image depicts a group picture taken during Dr. Sun Yat-sen's visit to a university on February 20th, 1923. The setting features a large assembly of people gathered in front of a grand building with arched doorways and palm trees, suggesting a formal event or gathering.

Objects:
- Suits and formal attire
- Hats
- Palm tree
- Arched doorways
- Large building with columns and windows

Events:
- Group photo
- University visit by Dr. Sun Yat-sen
- Speech by Dr. Sun Yat-sen emphasizing that Hong Kong and the University were his ""intellectual birth place.""

Time:
- February 20th, 1923","A group picture taken during Dr. Sun Yat Sen's visit to the University, 20th February, 1923 in a speech he made that day he emphasized that Hong Kong and the University were his ""intellectual birth place"""
